Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Stint,FreshTyre,Position,IsAccurate,TrackStatus,IsPersonalBest
NOR,1,1.0,0 days 00:01:26.181000,,0 days 00:00:26.091000,0 days 00:00:32.008000,240.0,274.0,278.0,298.0,INTERMEDIATE,1.0,1.0,True,1.0,False,1,False
NOR,1,2.0,0 days 00:01:37.774000,0 days 00:00:23.565000,0 days 00:00:26.304000,0 days 00:00:47.905000,226.0,267.0,,296.0,INTERMEDIATE,2.0,1.0,True,13.0,False,1,False
NOR,1,3.0,0 days 00:01:24.075000,0 days 00:00:26.055000,0 days 00:00:25.903000,0 days 00:00:32.117000,237.0,283.0,271.0,305.0,MEDIUM,1.0,2.0,True,14.0,False,1,False
NOR,1,4.0,0 days 00:01:21.170000,0 days 00:00:24.684000,0 days 00:00:25.667000,0 days 00:00:30.819000,227.0,280.0,283.0,313.0,MEDIUM,2.0,2.0,True,14.0,True,1,False
NOR,1,5.0,0 days 00:01:18.603000,0 days 00:00:22.558000,0 days 00:00:25.085000,0 days 00:00:30.960000,234.0,279.0,283.0,313.0,MEDIUM,3.0,2.0,True,14.0,True,1,True
NOR,1,6.0,0 days 00:01:19.343000,0 days 00:00:22.674000,0 days 00:00:25.181000,0 days 00:00:31.488000,233.0,286.0,286.0,320.0,MEDIUM,4.0,2.0,True,14.0,True,1,False
NOR,1,7.0,0 days 00:01:18.079000,0 days 00:00:22.500000,0 days 00:00:24.805000,0 days 00:00:30.774000,236.0,287.0,293.0,326.0,MEDIUM,5.0,2.0,True,13.0,True,1,True
NOR,1,8.0,0 days 00:01:18.027000,0 days 00:00:22.487000,0 days 00:00:24.992000,0 days 00:00:30.548000,237.0,279.0,272.0,312.0,MEDIUM,6.0,2.0,True,11.0,True,1,True
NOR,1,9.0,0 days 00:01:17.106000,0 days 00:00:22.114000,0 days 00:00:24.496000,0 days 00:00:30.496000,235.0,278.0,276.0,309.0,MEDIUM,7.0,2.0,True,11.0,True,1,True
NOR,1,10.0,0 days 00:01:17.226000,0 days 00:00:22.097000,0 days 00:00:24.661000,0 days 00:00:30.468000,235.0,281.0,275.0,326.0,MEDIUM,8.0,2.0,True,11.0,True,1,False
NOR,1,11.0,0 days 00:01:17.933000,0 days 00:00:22.395000,0 days 00:00:24.550000,0 days 00:00:30.988000,236.0,282.0,299.0,320.0,MEDIUM,9.0,2.0,True,9.0,True,1,False
NOR,1,12.0,0 days 00:01:16.868000,0 days 00:00:21.860000,0 days 00:00:24.441000,0 days 00:00:30.567000,237.0,276.0,270.0,304.0,MEDIUM,10.0,2.0,True,9.0,True,12,True
NOR,1,13.0,0 days 00:01:17.680000,0 days 00:00:21.985000,0 days 00:00:24.424000,0 days 00:00:31.271000,237.0,256.0,272.0,301.0,MEDIUM,11.0,2.0,True,9.0,True,2,False
NOR,1,14.0,0 days 00:01:16.801000,0 days 00:00:21.920000,0 days 00:00:24.338000,0 days 00:00:30.543000,236.0,277.0,274.0,303.0,MEDIUM,12.0,2.0,True,9.0,True,21,True
NOR,1,15.0,0 days 00:01:38.836000,0 days 00:00:21.758000,0 days 00:00:24.505000,0 days 00:00:52.573000,235.0,277.0,,322.0,MEDIUM,13.0,2.0,True,14.0,False,1,False
NOR,1,16.0,0 days 00:01:23.114000,0 days 00:00:25.089000,0 days 00:00:25.254000,0 days 00:00:32.771000,232.0,275.0,275.0,305.0,MEDIUM,4.0,3.0,False,14.0,False,1,False
NOR,1,17.0,0 days 00:01:17.206000,0 days 00:00:22.256000,0 days 00:00:24.461000,0 days 00:00:30.489000,235.0,283.0,300.0,313.0,MEDIUM,5.0,3.0,False,14.0,True,1,False
NOR,1,18.0,0 days 00:01:18.118000,0 days 00:00:22.244000,0 days 00:00:24.577000,0 days 00:00:31.297000,236.0,253.0,283.0,311.0,MEDIUM,6.0,3.0,False,13.0,True,12,False
NOR,1,19.0,0 days 00:01:16.877000,0 days 00:00:22.038000,0 days 00:00:24.307000,0 days 00:00:30.532000,236.0,281.0,278.0,310.0,MEDIUM,7.0,3.0,False,13.0,True,1,False
NOR,1,20.0,0 days 00:01:16.598000,0 days 00:00:21.817000,0 days 00:00:24.170000,0 days 00:00:30.611000,236.0,280.0,274.0,311.0,MEDIUM,8.0,3.0,False,12.0,True,1,True
NOR,1,21.0,0 days 00:01:16.974000,0 days 00:00:21.805000,0 days 00:00:24.375000,0 days 00:00:30.794000,236.0,275.0,273.0,298.0,MEDIUM,9.0,3.0,False,12.0,True,1,False
NOR,1,22.0,0 days 00:01:17.029000,0 days 00:00:21.788000,0 days 00:00:24.218000,0 days 00:00:31.023000,235.0,275.0,218.0,298.0,MEDIUM,10.0,3.0,False,12.0,True,1,False
NOR,1,23.0,0 days 00:01:19.051000,0 days 00:00:24.004000,0 days 00:00:24.233000,0 days 00:00:30.814000,236.0,280.0,277.0,308.0,MEDIUM,11.0,3.0,False,12.0,True,1,False
NOR,1,24.0,0 days 00:01:17.212000,0 days 00:00:22.054000,0 days 00:00:24.550000,0 days 00:00:30.608000,237.0,283.0,276.0,311.0,MEDIUM,12.0,3.0,False,12.0,True,1,False
NOR,1,25.0,0 days 00:01:16.692000,0 days 00:00:22.022000,0 days 00:00:24.401000,0 days 00:00:30.269000,237.0,283.0,279.0,312.0,MEDIUM,13.0,3.0,False,12.0,True,1,False
NOR,1,26.0,0 days 00:01:16.454000,0 days 00:00:21.972000,0 days 00:00:24.152000,0 days 00:00:30.330000,237.0,281.0,278.0,309.0,MEDIUM,14.0,3.0,False,12.0,True,1,True
NOR,1,27.0,0 days 00:01:16.187000,0 days 00:00:21.786000,0 days 00:00:24.130000,0 days 00:00:30.271000,238.0,286.0,278.0,310.0,MEDIUM,15.0,3.0,False,12.0,True,1,True
NOR,1,28.0,0 days 00:01:16.169000,0 days 00:00:21.842000,0 days 00:00:24.105000,0 days 00:00:30.222000,237.0,284.0,283.0,311.0,MEDIUM,16.0,3.0,False,12.0,True,1,True
NOR,1,29.0,0 days 00:01:16.238000,0 days 00:00:21.718000,0 days 00:00:24.242000,0 days 00:00:30.278000,239.0,280.0,280.0,309.0,MEDIUM,17.0,3.0,False,12.0,True,12,False
NOR,1,30.0,0 days 00:01:42.958000,0 days 00:00:27.371000,0 days 00:00:37.049000,0 days 00:00:38.538000,226.0,176.0,277.0,262.0,MEDIUM,18.0,3.0,False,9.0,False,26,False
NOR,1,31.0,0 days 00:01:43.679000,0 days 00:00:28.338000,0 days 00:00:37.245000,0 days 00:00:38.096000,192.0,219.0,205.0,248.0,MEDIUM,19.0,3.0,False,9.0,False,67,False
NOR,1,32.0,0 days 00:01:18.818000,0 days 00:00:23.236000,0 days 00:00:25.051000,0 days 00:00:30.531000,250.0,271.0,280.0,308.0,MEDIUM,20.0,3.0,False,9.0,False,71,False
NOR,1,33.0,0 days 00:01:16.514000,0 days 00:00:21.821000,0 days 00:00:24.244000,0 days 00:00:30.449000,238.0,278.0,278.0,306.0,MEDIUM,21.0,3.0,False,9.0,True,1,False
NOR,1,34.0,0 days 00:01:16.797000,0 days 00:00:21.803000,0 days 00:00:24.250000,0 days 00:00:30.744000,238.0,281.0,278.0,310.0,MEDIUM,22.0,3.0,False,9.0,True,1,False
NOR,1,35.0,0 days 00:01:16.614000,0 days 00:00:21.730000,0 days 00:00:24.465000,0 days 00:00:30.419000,237.0,280.0,278.0,307.0,MEDIUM,23.0,3.0,False,9.0,True,1,False
NOR,1,36.0,0 days 00:01:15.845000,0 days 00:00:21.762000,0 days 00:00:24.114000,0 days 00:00:29.969000,240.0,288.0,284.0,335.0,MEDIUM,24.0,3.0,False,8.0,True,1,True
NOR,1,37.0,0 days 00:01:16.361000,0 days 00:00:21.619000,0 days 00:00:24.210000,0 days 00:00:30.532000,236.0,275.0,274.0,300.0,MEDIUM,25.0,3.0,False,8.0,True,1,False
NOR,1,38.0,0 days 00:01:16.014000,0 days 00:00:21.625000,0 days 00:00:24.112000,0 days 00:00:30.277000,237.0,282.0,284.0,308.0,MEDIUM,26.0,3.0,False,8.0,True,1,False
NOR,1,39.0,,,,,,,,,MEDIUM,27.0,3.0,False,,False,12,
GAS,10,1.0,0 days 00:01:35.442000,,0 days 00:00:28.768000,0 days 00:00:33.043000,204.0,286.0,264.0,334.0,MEDIUM,1.0,1.0,True,12.0,False,1,False
GAS,10,2.0,0 days 00:01:26.222000,0 days 00:00:26.933000,0 days 00:00:26.924000,0 days 00:00:32.365000,229.0,283.0,280.0,315.0,MEDIUM,2.0,1.0,True,11.0,True,1,True
GAS,10,3.0,0 days 00:01:20.561000,0 days 00:00:23.482000,0 days 00:00:25.916000,0 days 00:00:31.163000,242.0,282.0,290.0,321.0,MEDIUM,3.0,1.0,True,11.0,True,1,True
GAS,10,4.0,0 days 00:01:20.937000,0 days 00:00:23.174000,0 days 00:00:25.563000,0 days 00:00:32.200000,235.0,290.0,271.0,348.0,MEDIUM,4.0,1.0,True,11.0,True,1,False
GAS,10,5.0,0 days 00:01:20.946000,0 days 00:00:23.916000,0 days 00:00:25.326000,0 days 00:00:31.704000,235.0,285.0,265.0,302.0,MEDIUM,5.0,1.0,True,11.0,True,1,False
GAS,10,6.0,0 days 00:01:19.779000,0 days 00:00:22.861000,0 days 00:00:25.642000,0 days 00:00:31.276000,239.0,289.0,280.0,321.0,MEDIUM,6.0,1.0,True,10.0,True,1,True
GAS,10,7.0,0 days 00:01:19.013000,0 days 00:00:22.488000,0 days 00:00:24.843000,0 days 00:00:31.682000,236.0,279.0,266.0,310.0,MEDIUM,7.0,1.0,True,10.0,True,1,True
GAS,10,8.0,0 days 00:01:18.469000,0 days 00:00:22.618000,0 days 00:00:24.909000,0 days 00:00:30.942000,238.0,278.0,274.0,313.0,MEDIUM,8.0,1.0,True,10.0,True,1,True
GAS,10,9.0,0 days 00:01:17.916000,0 days 00:00:22.351000,0 days 00:00:24.749000,0 days 00:00:30.816000,238.0,283.0,275.0,318.0,MEDIUM,9.0,1.0,True,10.0,True,1,True
GAS,10,10.0,0 days 00:01:17.790000,0 days 00:00:22.434000,0 days 00:00:24.529000,0 days 00:00:30.827000,238.0,285.0,276.0,320.0,MEDIUM,10.0,1.0,True,10.0,True,1,True
GAS,10,11.0,0 days 00:01:18.575000,0 days 00:00:22.362000,0 days 00:00:24.793000,0 days 00:00:31.420000,238.0,290.0,263.0,304.0,MEDIUM,11.0,1.0,True,10.0,True,1,False
GAS,10,12.0,0 days 00:01:19.019000,0 days 00:00:22.757000,0 days 00:00:24.776000,0 days 00:00:31.486000,238.0,281.0,274.0,309.0,MEDIUM,12.0,1.0,True,10.0,True,12,False
GAS,10,13.0,0 days 00:01:19.232000,0 days 00:00:22.334000,0 days 00:00:24.772000,0 days 00:00:32.126000,237.0,280.0,277.0,309.0,MEDIUM,13.0,1.0,True,10.0,True,2,False
GAS,10,14.0,0 days 00:01:18.013000,0 days 00:00:22.341000,0 days 00:00:24.801000,0 days 00:00:30.871000,239.0,277.0,273.0,306.0,MEDIUM,14.0,1.0,True,10.0,True,21,False
GAS,10,15.0,0 days 00:01:17.595000,0 days 00:00:22.050000,0 days 00:00:24.566000,0 days 00:00:30.979000,238.0,278.0,271.0,305.0,MEDIUM,15.0,1.0,True,9.0,True,1,True
GAS,10,16.0,0 days 00:01:17.569000,0 days 00:00:22.102000,0 days 00:00:24.543000,0 days 00:00:30.924000,237.0,277.0,271.0,304.0,MEDIUM,16.0,1.0,True,9.0,True,1,True
GAS,10,17.0,0 days 00:01:17.633000,0 days 00:00:22.080000,0 days 00:00:24.672000,0 days 00:00:30.881000,238.0,278.0,272.0,304.0,MEDIUM,17.0,1.0,True,9.0,True,1,False
GAS,10,18.0,0 days 00:01:17.456000,0 days 00:00:22.106000,0 days 00:00:24.552000,0 days 00:00:30.798000,236.0,280.0,274.0,303.0,MEDIUM,18.0,1.0,True,9.0,True,12,True
GAS,10,19.0,0 days 00:01:17.419000,0 days 00:00:22.026000,0 days 00:00:24.603000,0 days 00:00:30.790000,239.0,280.0,270.0,304.0,MEDIUM,19.0,1.0,True,9.0,True,1,True
GAS,10,20.0,0 days 00:01:17.507000,0 days 00:00:22.024000,0 days 00:00:24.609000,0 days 00:00:30.874000,238.0,276.0,272.0,305.0,MEDIUM,20.0,1.0,True,9.0,True,1,False
GAS,10,21.0,0 days 00:01:17.774000,0 days 00:00:22.219000,0 days 00:00:24.704000,0 days 00:00:30.851000,239.0,278.0,276.0,306.0,MEDIUM,21.0,1.0,True,9.0,True,1,False
GAS,10,22.0,0 days 00:01:17.432000,0 days 00:00:22.118000,0 days 00:00:24.573000,0 days 00:00:30.741000,238.0,282.0,280.0,309.0,MEDIUM,22.0,1.0,True,9.0,True,1,False
GAS,10,23.0,0 days 00:01:18.091000,0 days 00:00:22.296000,0 days 00:00:25.052000,0 days 00:00:30.743000,240.0,278.0,274.0,304.0,MEDIUM,23.0,1.0,True,9.0,True,1,False
GAS,10,24.0,0 days 00:01:17.292000,0 days 00:00:21.978000,0 days 00:00:24.641000,0 days 00:00:30.673000,239.0,279.0,266.0,305.0,MEDIUM,24.0,1.0,True,9.0,True,1,True
GAS,10,25.0,0 days 00:01:17.319000,0 days 00:00:22.051000,0 days 00:00:24.455000,0 days 00:00:30.813000,237.0,278.0,274.0,304.0,MEDIUM,25.0,1.0,True,9.0,True,1,False
GAS,10,26.0,0 days 00:01:17.098000,0 days 00:00:21.977000,0 days 00:00:24.432000,0 days 00:00:30.689000,240.0,275.0,267.0,302.0,MEDIUM,26.0,1.0,True,9.0,True,1,True
GAS,10,27.0,0 days 00:01:17.050000,0 days 00:00:22.037000,0 days 00:00:24.360000,0 days 00:00:30.653000,240.0,278.0,267.0,302.0,MEDIUM,27.0,1.0,True,9.0,True,1,True
GAS,10,28.0,0 days 00:01:16.981000,0 days 00:00:21.862000,0 days 00:00:24.450000,0 days 00:00:30.669000,242.0,277.0,271.0,302.0,MEDIUM,28.0,1.0,True,9.0,True,1,True
GAS,10,29.0,0 days 00:01:16.867000,0 days 00:00:21.903000,0 days 00:00:24.419000,0 days 00:00:30.545000,241.0,278.0,271.0,305.0,MEDIUM,29.0,1.0,True,9.0,True,12,True
GAS,10,30.0,0 days 00:01:52.733000,0 days 00:00:21.915000,0 days 00:00:37.796000,0 days 00:00:53.022000,241.0,235.0,,181.0,MEDIUM,30.0,1.0,True,8.0,False,26,False
GAS,10,31.0,0 days 00:01:44.736000,0 days 00:00:31.349000,0 days 00:00:36.353000,0 days 00:00:37.034000,218.0,218.0,232.0,246.0,HARD,1.0,2.0,True,8.0,False,67,False
GAS,10,32.0,0 days 00:01:20.704000,0 days 00:00:24.548000,0 days 00:00:25.222000,0 days 00:00:30.934000,243.0,276.0,275.0,307.0,HARD,2.0,2.0,True,8.0,False,71,False
GAS,10,33.0,0 days 00:01:18.117000,0 days 00:00:22.565000,0 days 00:00:24.687000,0 days 00:00:30.865000,241.0,282.0,281.0,311.0,HARD,3.0,2.0,True,8.0,True,1,False
GAS,10,34.0,0 days 00:01:17.469000,0 days 00:00:22.162000,0 days 00:00:24.800000,0 days 00:00:30.507000,242.0,282.0,284.0,312.0,HARD,4.0,2.0,True,8.0,True,1,False
GAS,10,35.0,0 days 00:01:17.389000,0 days 00:00:22.203000,0 days 00:00:24.574000,0 days 00:00:30.612000,241.0,280.0,276.0,304.0,HARD,5.0,2.0,True,8.0,True,1,False
GAS,10,36.0,0 days 00:01:17.233000,0 days 00:00:21.854000,0 days 00:00:24.380000,0 days 00:00:30.999000,242.0,282.0,282.0,306.0,HARD,6.0,2.0,True,9.0,True,1,False
GAS,10,37.0,0 days 00:01:16.922000,0 days 00:00:21.962000,0 days 00:00:24.589000,0 days 00:00:30.371000,245.0,285.0,279.0,318.0,HARD,7.0,2.0,True,9.0,True,1,False
GAS,10,38.0,0 days 00:01:18.909000,0 days 00:00:22.104000,0 days 00:00:26.081000,0 days 00:00:30.724000,242.0,279.0,267.0,303.0,HARD,8.0,2.0,True,9.0,True,1,False
GAS,10,39.0,0 days 00:01:16.835000,0 days 00:00:21.931000,0 days 00:00:24.254000,0 days 00:00:30.650000,242.0,281.0,268.0,303.0,HARD,9.0,2.0,True,8.0,True,12,True
GAS,10,40.0,0 days 00:01:16.585000,0 days 00:00:21.767000,0 days 00:00:24.260000,0 days 00:00:30.558000,241.0,279.0,272.0,304.0,HARD,10.0,2.0,True,8.0,True,1,True
GAS,10,41.0,0 days 00:01:16.395000,0 days 00:00:21.623000,0 days 00:00:24.312000,0 days 00:00:30.460000,244.0,280.0,271.0,302.0,HARD,11.0,2.0,True,8.0,True,1,True
GAS,10,42.0,0 days 00:01:16.245000,0 days 00:00:21.680000,0 days 00:00:24.132000,0 days 00:00:30.433000,243.0,281.0,277.0,305.0,HARD,12.0,2.0,True,8.0,True,1,True
GAS,10,43.0,0 days 00:01:16.219000,0 days 00:00:21.763000,0 days 00:00:24.209000,0 days 00:00:30.247000,241.0,285.0,276.0,307.0,HARD,13.0,2.0,True,8.0,True,1,True
GAS,10,44.0,0 days 00:01:17.859000,0 days 00:00:21.867000,0 days 00:00:25.493000,0 days 00:00:30.499000,242.0,293.0,283.0,311.0,HARD,14.0,2.0,True,8.0,True,1,False
GAS,10,45.0,0 days 00:01:33.480000,0 days 00:00:22.172000,0 days 00:00:33.697000,0 days 00:00:37.611000,241.0,260.0,304.0,249.0,HARD,15.0,2.0,True,8.0,False,167,False
GAS,10,46.0,0 days 00:01:16.888000,0 days 00:00:21.934000,0 days 00:00:24.360000,0 days 00:00:30.594000,242.0,283.0,280.0,306.0,HARD,16.0,2.0,True,8.0,True,1,False
GAS,10,47.0,0 days 00:01:18.366000,0 days 00:00:21.807000,0 days 00:00:24.167000,0 days 00:00:32.392000,242.0,286.0,275.0,218.0,HARD,17.0,2.0,True,8.0,True,1,False
GAS,10,48.0,0 days 00:01:17.589000,0 days 00:00:21.844000,0 days 00:00:24.310000,0 days 00:00:31.435000,243.0,282.0,297.0,268.0,HARD,18.0,2.0,True,8.0,True,1,False
GAS,10,49.0,0 days 00:01:16.686000,0 days 00:00:21.902000,0 days 00:00:24.253000,0 days 00:00:30.531000,241.0,284.0,265.0,317.0,HARD,19.0,2.0,True,8.0,True,1,False
GAS,10,50.0,0 days 00:01:16.065000,0 days 00:00:21.722000,0 days 00:00:24.175000,0 days 00:00:30.168000,244.0,288.0,271.0,320.0,HARD,20.0,2.0,True,8.0,True,1,True
GAS,10,51.0,0 days 00:01:21.545000,0 days 00:00:21.631000,0 days 00:00:24.082000,0 days 00:00:35.832000,244.0,287.0,259.0,320.0,HARD,21.0,2.0,True,8.0,False,16,False
GAS,10,52.0,0 days 00:01:43.810000,0 days 00:00:28.542000,0 days 00:00:32.500000,0 days 00:00:42.768000,225.0,218.0,241.0,244.0,HARD,22.0,2.0,True,8.0,False,67,False
GAS,10,53.0,0 days 00:01:21.624000,0 days 00:00:26.047000,0 days 00:00:25.090000,0 days 00:00:30.487000,237.0,287.0,276.0,318.0,HARD,23.0,2.0,True,8.0,False,71,False
GAS,10,54.0,0 days 00:01:16.366000,0 days 00:00:21.777000,0 days 00:00:24.308000,0 days 00:00:30.281000,245.0,285.0,280.0,316.0,HARD,24.0,2.0,True,8.0,True,1,False
GAS,10,55.0,0 days 00:01:15.863000,0 days 00:00:21.687000,0 days 00:00:24.094000,0 days 00:00:30.082000,243.0,287.0,280.0,312.0,HARD,25.0,2.0,True,8.0,True,1,True
GAS,10,56.0,0 days 00:01:15.861000,0 days 00:00:21.602000,0 days 00:00:24.125000,0 days 00:00:30.134000,243.0,288.0,281.0,314.0,HARD,26.0,2.0,True,8.0,True,1,True
GAS,10,57.0,0 days 00:01:15.785000,0 days 00:00:21.613000,0 days 00:00:24.144000,0 days 00:00:30.028000,243.0,289.0,284.0,311.0,HARD,27.0,2.0,True,8.0,True,1,True
GAS,10,58.0,0 days 00:01:15.983000,0 days 00:00:21.573000,0 days 00:00:24.106000,0 days 00:00:30.304000,244.0,289.0,285.0,316.0,HARD,28.0,2.0,True,8.0,True,1,False
GAS,10,59.0,0 days 00:01:15.752000,0 days 00:00:21.720000,0 days 00:00:24.109000,0 days 00:00:29.923000,243.0,293.0,283.0,316.0,HARD,29.0,2.0,True,8.0,True,1,True
GAS,10,60.0,0 days 00:01:15.927000,0 days 00:00:21.565000,0 days 00:00:24.123000,0 days 00:00:30.239000,244.0,292.0,282.0,313.0,HARD,30.0,2.0,True,8.0,True,12,False
GAS,10,61.0,0 days 00:01:15.895000,0 days 00:00:21.642000,0 days 00:00:24.171000,0 days 00:00:30.082000,243.0,293.0,282.0,319.0,HARD,31.0,2.0,True,8.0,True,1,False
GAS,10,62.0,0 days 00:01:16.121000,0 days 00:00:21.595000,0 days 00:00:24.050000,0 days 00:00:30.476000,244.0,289.0,278.0,322.0,HARD,32.0,2.0,True,8.0,True,1,False
GAS,10,63.0,0 days 00:01:15.821000,0 days 00:00:21.691000,0 days 00:00:24.053000,0 days 00:00:30.077000,244.0,293.0,280.0,318.0,HARD,33.0,2.0,True,8.0,True,1,False
GAS,10,64.0,0 days 00:01:16.853000,0 days 00:00:21.770000,0 days 00:00:24.235000,0 days 00:00:30.848000,244.0,291.0,260.0,338.0,HARD,34.0,2.0,True,8.0,True,1,False
GAS,10,65.0,0 days 00:01:18.473000,0 days 00:00:22.708000,0 days 00:00:24.458000,0 days 00:00:31.307000,244.0,293.0,259.0,343.0,HARD,35.0,2.0,True,8.0,True,1,False
GAS,10,66.0,0 days 00:01:16.840000,0 days 00:00:21.781000,0 days 00:00:25.051000,0 days 00:00:30.008000,243.0,288.0,276.0,311.0,HARD,36.0,2.0,True,8.0,True,1,False
GAS,10,67.0,0 days 00:01:15.390000,0 days 00:00:21.458000,0 days 00:00:24.076000,0 days 00:00:29.856000,243.0,286.0,294.0,327.0,HARD,37.0,2.0,True,8.0,True,1,True
