Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 00:57:23.310000,2,Yellow
0 days 00:59:21.189000,1,AllClear
0 days 01:18:26.224000,2,Yellow
0 days 01:20:30.001000,1,AllClear
0 days 01:26:21.089000,2,Yellow
0 days 01:26:23.574000,1,AllClear
0 days 01:40:38.414000,2,Yellow
0 days 01:41:09.508000,6,VSCDeployed
0 days 01:44:17.183000,7,VSCEnding
0 days 01:44:29.190000,1,AllClear
0 days 01:54:21.487000,2,Yellow
0 days 01:54:27.037000,1,AllClear
0 days 02:01:33.274000,6,VSCDeployed
0 days 02:02:16.584000,7,VSCEnding
0 days 02:02:29.849000,1,AllClear
0 days 02:10:12.499000,6,VSCDeployed
0 days 02:12:10.609000,7,VSCEnding
0 days 02:12:24.656000,1,AllClear
0 days 02:21:56.797000,2,Yellow
0 days 02:22:04.375000,1,AllClear
