CIRCUIT INFORMATION
==================================================
Circuit Rotation: 62.0°

CORNERS (14 total):
--------------------------------------------------
              X             Y  Number Letter       Angle     Distance
0   3314.213623  -1317.854858       1        -165.704223   220.393040
1   3856.566650  -2073.488770       2         -22.292629   322.789897
2    740.000488   -608.991943       3        -158.882111   703.628954
3    746.362305    -42.993057       4          10.981968   767.648778
4   -724.044739   1618.967407       5          29.699708  1001.501773
5   -993.916626   3790.888672       6          27.681895  1208.853614
6  -1783.871460   4016.300781       7        -117.805015  1304.705839
7  -1785.440430  10539.706055       8         118.593733  1992.345289
8  -1140.291992  10976.314453       9         -28.305198  2076.504352
9   -711.505371  16759.564453      10          97.796495  2669.549972
10  -374.826996  15840.400391      11           9.367721  2769.842814
11   975.872559  12421.172852      12        -161.170043  3155.680166
12  2586.933350   5440.833008      13         -21.168127  3870.265278
13  2435.436279   5153.829590      14         157.077799  3907.526294

MARSHAL LIGHTS (15 positions):
--------------------------------------------------
              X             Y  Number Letter       Angle     Distance
0   3353.000000    920.000000       1          12.894578     3.301478
1   3498.902832  -2272.346680       2         -88.329898   371.584411
2   1662.266968  -1507.206299       3        -128.275662   578.178718
3    677.248352    125.601845       4          28.002159   784.759661
4   -774.033936   1715.084595       5        -158.158475  1001.501773
5   -924.534241   3112.103760       6          -3.283047  1152.638813
6  -2157.230957   4442.897949       7        -157.394992  1358.323214
7  -2445.885254   7373.739258       8         178.795246  1664.688611
8  -2088.798096   9766.385742       9         166.308876  1903.496189
9   -975.051697  11434.003906      10         -14.753597  2125.335210
10  -635.716492  15341.700195      11        -167.872871  2513.415207
11  -207.707840  15280.560547      12          22.616630  2844.950103
12  1093.762085  12049.968750      13        -163.635698  3195.678588
13  2325.310547   6894.855957      14          13.557159  3732.245158
14  2476.053955   4359.746582      15        -165.414453  3990.874567

MARSHAL SECTORS (15 sectors):
--------------------------------------------------
              X             Y  Number Letter       Angle     Distance
0   3353.000000    920.000000       1          12.449547     3.301478
1   3515.829834  -2271.817871       2         -88.066845   362.781002
2   1691.748535  -1529.987549       3        -127.796402   564.018469
3    610.779236    219.528168       4          38.205092   794.632592
4   -800.530701   1781.093994       5        -158.226301  1017.890756
5   -924.145569   3118.867188       6          -3.327263  1152.638813
6  -2150.709229   4427.268555       7        -157.350991  1358.323214
7  -2446.911377   7329.717773       8         178.768374  1664.688611
8  -2148.736084   9516.055664       9         166.635973  1886.686837
9   -992.291138  11368.494141      10         -14.678034  2111.034902
10  -618.041992  15255.431641      11        -170.153010  2513.415207
11  -215.560059  15299.304688      12          22.633458  2830.019389
12  1076.745117  12104.976562      13        -161.929117  3195.678588
13  2311.971436   6950.871582      14          13.294185  3716.358495
14  2477.773682   4353.195312      15        -165.319878  3990.874567
